Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Age_gorup,Income_Band,Tenure_group
41,1,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,2,Female,94,3,2,Sales Executive,4,5993,19479,8,Yes,11,3,8,1,6,4,0,36-45,Medium,4-7 Years
49,0,Travel_Frequently,279,Research & Development,8,1,Life Sciences,2,3,Male,61,2,2,Research Scientist,2,5130,24907,1,No,23,4,10,3,10,7,1,46+,Medium,8+ Years
37,1,Travel_Rarely,1373,Research & Development,2,2,Other,4,4,Male,92,2,1,Laboratory Technician,3,2090,2396,6,Yes,15,3,7,3,0,0,0,36-45,Low,0-1 Years
33,0,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,5,4,Female,56,3,1,Research Scientist,3,2909,23159,1,Yes,11,3,8,3,8,7,3,26-35,Low,8+ Years
27,0,Travel_Rarely,591,Research & Development,2,1,Medical,7,1,Male,40,3,1,Laboratory Technician,2,3468,16632,9,No,12,3,6,3,2,2,2,26-35,Low,0-1 Years
32,0,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,8,4,Male,79,3,1,Laboratory Technician,4,3068,11864,0,No,13,3,8,2,7,7,3,26-35,Low,4-7 Years
59,0,Travel_Rarely,1324,Research & Development,3,3,Medical,10,3,Female,81,4,1,Laboratory Technician,1,2670,9964,4,Yes,20,4,12,2,1,0,0,46+,Low,0-1 Years
30,0,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,11,4,Male,67,3,1,Laboratory Technician,3,2693,13335,1,No,22,4,1,3,1,0,0,26-35,Low,0-1 Years
38,0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,12,4,Male,44,2,3,Manufacturing Director,3,9526,8787,0,No,21,4,10,3,9,7,1,36-45,Medium,8+ Years
36,0,Travel_Rarely,1299,Research & Development,27,3,Medical,13,3,Male,94,3,2,Healthcare Representative,3,5237,16577,6,No,13,3,17,2,7,7,7,36-45,Medium,4-7 Years
35,0,Travel_Rarely,809,Research & Development,16,3,Medical,14,1,Male,84,4,1,Laboratory Technician,2,2426,16479,0,No,13,3,6,3,5,4,0,26-35,Low,4-7 Years
29,0,Travel_Rarely,153,Research & Development,15,2,Life Sciences,15,4,Female,49,2,2,Laboratory Technician,3,4193,12682,0,Yes,12,3,10,3,9,5,0,26-35,Low,8+ Years
31,0,Travel_Rarely,670,Research & Development,26,1,Life Sciences,16,1,Male,31,3,1,Research Scientist,3,2911,15170,1,No,17,3,5,2,5,2,4,26-35,Low,4-7 Years
34,0,Travel_Rarely,1346,Research & Development,19,2,Medical,18,2,Male,93,3,1,Laboratory Technician,4,2661,8758,0,No,11,3,3,3,2,2,1,26-35,Low,0-1 Years
28,1,Travel_Rarely,103,Research & Development,24,3,Life Sciences,19,3,Male,50,2,1,Laboratory Technician,3,2028,12947,5,Yes,14,3,6,3,4,2,0,26-35,Low,4-7 Years
29,0,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,20,2,Female,51,4,3,Manufacturing Director,1,9980,10195,1,No,11,3,10,3,10,9,8,26-35,Medium,8+ Years
32,0,Travel_Rarely,334,Research & Development,5,2,Life Sciences,21,1,Male,80,4,1,Research Scientist,2,3298,15053,0,Yes,12,3,7,2,6,2,0,26-35,Low,4-7 Years
22,0,Non-Travel,1123,Research & Development,16,2,Medical,22,4,Male,96,4,1,Laboratory Technician,4,2935,7324,1,Yes,13,3,1,2,1,0,0,18-25,Low,0-1 Years
53,0,Travel_Rarely,1219,Sales,2,4,Life Sciences,23,1,Female,78,2,4,Manager,4,15427,22021,2,No,16,3,31,3,25,8,3,46+,High,8+ Years
38,0,Travel_Rarely,371,Research & Development,2,3,Life Sciences,24,4,Male,45,3,1,Research Scientist,4,3944,4306,5,Yes,11,3,6,3,3,2,1,36-45,Low,0-1 Years
24,0,Non-Travel,673,Research & Development,11,2,Other,26,1,Female,96,4,2,Manufacturing Director,3,4011,8232,0,No,18,3,5,2,4,2,1,18-25,Low,4-7 Years
36,1,Travel_Rarely,1218,Sales,9,4,Life Sciences,27,3,Male,82,2,1,Sales Representative,1,3407,6986,7,No,23,4,10,3,5,3,0,36-45,Low,4-7 Years
34,0,Travel_Rarely,419,Research & Development,7,4,Life Sciences,28,1,Female,53,3,3,Research Director,2,11994,21293,0,No,11,3,13,3,12,6,2,26-35,High,8+ Years
21,0,Travel_Rarely,391,Research & Development,15,2,Life Sciences,30,3,Male,96,3,1,Research Scientist,4,1232,19281,1,No,14,3,0,3,0,0,0,18-25,Low,0-1 Years
34,1,Travel_Rarely,699,Research & Development,6,1,Medical,31,2,Male,83,3,1,Research Scientist,1,2960,17102,2,No,11,3,8,3,4,2,1,26-35,Low,4-7 Years
53,0,Travel_Rarely,1282,Research & Development,5,3,Other,32,3,Female,58,3,5,Manager,3,19094,10735,4,No,11,3,26,2,14,13,4,46+,High,8+ Years
32,1,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,33,2,Female,72,1,1,Research Scientist,1,3919,4681,1,Yes,22,4,10,3,10,2,6,26-35,Low,8+ Years
42,0,Travel_Rarely,691,Sales,8,4,Marketing,35,3,Male,48,3,2,Sales Executive,2,6825,21173,0,No,11,3,10,3,9,7,4,36-45,Medium,8+ Years
44,0,Travel_Rarely,477,Research & Development,7,4,Medical,36,1,Female,42,2,3,Healthcare Representative,4,10248,2094,3,No,14,3,24,3,22,6,5,36-45,High,8+ Years
46,0,Travel_Rarely,705,Sales,2,4,Marketing,38,2,Female,83,3,5,Manager,1,18947,22822,3,No,12,3,22,2,2,2,2,46+,High,0-1 Years
33,0,Travel_Rarely,924,Research & Development,2,3,Medical,39,3,Male,78,3,1,Laboratory Technician,4,2496,6670,4,No,11,3,7,3,1,1,0,26-35,Low,0-1 Years
44,0,Travel_Rarely,1459,Research & Development,10,4,Other,40,4,Male,41,3,2,Healthcare Representative,4,6465,19121,2,Yes,13,3,9,4,4,2,1,36-45,Medium,4-7 Years
30,0,Travel_Rarely,125,Research & Development,9,2,Medical,41,4,Male,83,2,1,Laboratory Technician,3,2206,16117,1,No,13,3,10,3,10,0,1,26-35,Low,8+ Years
39,1,Travel_Rarely,895,Sales,5,3,Technical Degree,42,4,Male,56,3,2,Sales Representative,4,2086,3335,3,No,14,3,19,4,1,0,0,36-45,Low,0-1 Years
24,1,Travel_Rarely,813,Research & Development,1,3,Medical,45,2,Male,61,3,1,Research Scientist,4,2293,3020,2,Yes,16,3,6,2,2,0,2,18-25,Low,0-1 Years
43,0,Travel_Rarely,1273,Research & Development,2,2,Medical,46,4,Female,72,4,1,Research Scientist,3,2645,21923,1,No,12,3,6,2,5,3,1,36-45,Low,4-7 Years
50,1,Travel_Rarely,869,Sales,3,2,Marketing,47,1,Male,86,2,1,Sales Representative,3,2683,3810,1,Yes,14,3,3,3,3,2,0,46+,Low,0-1 Years
35,0,Travel_Rarely,890,Sales,2,3,Marketing,49,4,Female,97,3,1,Sales Representative,4,2014,9687,1,No,13,3,2,3,2,2,2,26-35,Low,0-1 Years
36,0,Travel_Rarely,852,Research & Development,5,4,Life Sciences,51,2,Female,82,2,1,Research Scientist,1,3419,13072,9,Yes,14,3,6,4,1,1,0,36-45,Low,0-1 Years
33,0,Travel_Frequently,1141,Sales,1,3,Life Sciences,52,3,Female,42,4,2,Sales Executive,1,5376,3193,2,No,19,3,10,3,5,3,1,26-35,Medium,4-7 Years
35,0,Travel_Rarely,464,Research & Development,4,2,Other,53,3,Male,75,3,1,Laboratory Technician,4,1951,10910,1,No,12,3,1,3,1,0,0,26-35,Low,0-1 Years
27,0,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,54,4,Female,33,3,1,Laboratory Technician,1,2341,19715,1,No,13,3,1,3,1,0,0,26-35,Low,0-1 Years
26,1,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,55,1,Male,48,1,1,Laboratory Technician,3,2293,10558,1,No,12,3,1,2,1,0,0,26-35,Low,0-1 Years
27,0,Travel_Frequently,994,Sales,8,3,Life Sciences,56,4,Male,37,3,3,Sales Executive,3,8726,2975,1,No,15,3,9,3,9,8,1,26-35,Medium,8+ Years
30,0,Travel_Frequently,721,Research & Development,1,2,Medical,57,3,Female,58,3,2,Laboratory Technician,4,4011,10781,1,No,23,4,12,3,12,8,3,26-35,Low,8+ Years
41,1,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,58,2,Female,49,3,5,Research Director,3,19545,16280,1,No,12,3,23,3,22,15,15,36-45,High,8+ Years
34,0,Non-Travel,1065,Sales,23,4,Marketing,60,2,Male,72,3,2,Sales Executive,3,4568,10034,0,No,20,4,10,3,9,5,8,26-35,Low,8+ Years
37,0,Travel_Rarely,408,Research & Development,19,2,Life Sciences,61,2,Male,73,3,1,Research Scientist,2,3022,10227,4,No,21,4,8,3,1,0,0,36-45,Low,0-1 Years
46,0,Travel_Frequently,1211,Sales,5,4,Marketing,62,1,Male,98,3,2,Sales Executive,4,5772,20445,4,Yes,21,4,14,3,9,6,0,46+,Medium,8+ Years
35,0,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,63,4,Male,36,4,1,Laboratory Technician,4,2269,4892,1,No,19,3,1,3,1,0,0,26-35,Low,0-1 Years
48,1,Travel_Rarely,626,Research & Development,1,2,Life Sciences,64,1,Male,98,2,3,Laboratory Technician,3,5381,19294,9,Yes,13,3,23,3,1,0,0,46+,Medium,0-1 Years
28,1,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,65,3,Male,50,3,1,Laboratory Technician,3,3441,11179,1,Yes,13,3,2,2,2,2,2,26-35,Low,0-1 Years
44,0,Travel_Rarely,1488,Sales,1,5,Marketing,68,2,Female,75,3,2,Sales Executive,1,5454,4009,5,Yes,21,4,9,2,4,3,1,36-45,Medium,4-7 Years
35,0,Non-Travel,1097,Research & Development,11,2,Medical,70,3,Male,79,2,3,Healthcare Representative,1,9884,8302,2,Yes,13,3,10,3,4,0,2,26-35,Medium,4-7 Years
26,0,Travel_Rarely,1443,Sales,23,3,Marketing,72,3,Female,47,2,2,Sales Executive,4,4157,21436,7,Yes,19,3,5,2,2,2,0,26-35,Low,0-1 Years
33,0,Travel_Frequently,515,Research & Development,1,2,Life Sciences,73,1,Female,98,3,3,Research Director,4,13458,15146,1,Yes,12,3,15,3,15,14,8,26-35,High,8+ Years
35,0,Travel_Frequently,853,Sales,18,5,Life Sciences,74,2,Male,71,3,3,Sales Executive,1,9069,11031,1,No,22,4,9,2,9,8,1,26-35,Medium,8+ Years
35,0,Travel_Rarely,1142,Research & Development,23,4,Medical,75,3,Female,30,3,1,Laboratory Technician,1,4014,16002,3,Yes,15,3,4,3,2,2,2,26-35,Low,0-1 Years
31,0,Travel_Rarely,655,Research & Development,7,4,Life Sciences,76,4,Male,48,3,2,Laboratory Technician,4,5915,9528,3,No,22,4,10,2,7,7,1,26-35,Medium,4-7 Years
37,0,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,77,1,Male,51,2,2,Manufacturing Director,3,5993,2689,1,No,18,3,7,4,7,5,0,36-45,Medium,4-7 Years
32,0,Travel_Rarely,427,Research & Development,1,3,Medical,78,1,Male,33,3,2,Manufacturing Director,4,6162,10877,1,Yes,22,4,9,3,9,8,7,26-35,Medium,8+ Years
38,0,Travel_Frequently,653,Research & Development,29,5,Life Sciences,79,4,Female,50,3,2,Laboratory Technician,4,2406,5456,1,No,11,3,10,3,10,3,9,36-45,Low,8+ Years
50,0,Travel_Rarely,989,Research & Development,7,2,Medical,80,2,Female,43,2,5,Research Director,3,18740,16701,5,Yes,12,3,29,2,27,3,13,46+,High,8+ Years
59,0,Travel_Rarely,1435,Sales,25,3,Life Sciences,81,1,Female,99,3,3,Sales Executive,1,7637,2354,7,No,11,3,28,2,21,16,7,46+,Medium,8+ Years
36,0,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,83,3,Female,59,3,3,Healthcare Representative,3,10096,8202,1,No,13,3,17,3,17,14,12,36-45,High,8+ Years
55,0,Travel_Rarely,836,Research & Development,8,3,Medical,84,4,Female,33,3,4,Manager,3,14756,19730,2,Yes,14,3,21,3,5,0,0,46+,High,4-7 Years
36,0,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,85,2,Male,95,2,2,Manufacturing Director,2,6499,22656,1,No,13,3,6,3,6,5,0,36-45,Medium,4-7 Years
45,0,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,86,2,Male,59,3,3,Research Scientist,1,9724,18787,2,No,17,3,25,3,1,0,0,36-45,Medium,0-1 Years
35,0,Travel_Frequently,664,Research & Development,1,3,Medical,88,2,Male,79,3,1,Research Scientist,1,2194,5868,4,No,13,3,5,2,3,2,1,26-35,Low,0-1 Years
36,1,Travel_Rarely,318,Research & Development,9,3,Medical,90,4,Male,79,2,1,Research Scientist,3,3388,21777,0,Yes,17,3,2,2,1,0,0,36-45,Low,0-1 Years
59,0,Travel_Frequently,1225,Sales,1,1,Life Sciences,91,1,Female,57,2,2,Sales Executive,3,5473,24668,7,No,11,3,20,2,4,3,1,46+,Medium,4-7 Years
29,0,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,94,3,Male,76,3,1,Research Scientist,2,2703,4956,0,No,23,4,6,3,5,4,0,26-35,Low,4-7 Years
31,0,Travel_Rarely,1082,Research & Development,1,4,Medical,95,3,Male,87,3,1,Research Scientist,2,2501,18775,1,No,17,3,1,3,1,1,1,26-35,Low,0-1 Years
32,0,Travel_Rarely,548,Research & Development,1,3,Life Sciences,96,2,Male,66,3,2,Research Scientist,2,6220,7346,1,No,17,3,10,3,10,4,0,26-35,Medium,8+ Years
36,0,Travel_Rarely,132,Research & Development,6,3,Life Sciences,97,2,Female,55,4,1,Laboratory Technician,4,3038,22002,3,No,12,3,5,3,1,0,0,36-45,Low,0-1 Years
31,0,Travel_Rarely,746,Research & Development,8,4,Life Sciences,98,3,Female,61,3,2,Manufacturing Director,4,4424,20682,1,No,23,4,11,3,11,7,1,26-35,Low,8+ Years
35,0,Travel_Rarely,776,Sales,1,4,Marketing,100,3,Male,32,2,2,Sales Executive,1,4312,23016,0,No,14,3,16,3,15,13,2,26-35,Low,8+ Years
45,0,Travel_Rarely,193,Research & Development,6,4,Other,101,4,Male,52,3,3,Research Director,1,13245,15067,4,Yes,14,3,17,4,0,0,0,36-45,High,0-1 Years
37,0,Travel_Rarely,397,Research & Development,7,4,Medical,102,1,Male,30,3,3,Research Director,3,13664,25258,4,No,13,3,16,4,5,2,0,36-45,High,4-7 Years
46,0,Travel_Rarely,945,Human Resources,5,2,Medical,103,2,Male,80,3,2,Human Resources,2,5021,10425,8,Yes,22,4,16,3,4,2,0,46+,Medium,4-7 Years
30,0,Travel_Rarely,852,Research & Development,1,1,Life Sciences,104,4,Male,55,2,2,Laboratory Technician,4,5126,15998,1,Yes,12,3,10,2,10,8,3,26-35,Medium,8+ Years
35,0,Travel_Rarely,1214,Research & Development,1,3,Medical,105,2,Male,30,2,1,Research Scientist,3,2859,26278,1,No,18,3,6,3,6,4,0,26-35,Low,4-7 Years
55,0,Travel_Rarely,111,Sales,1,2,Life Sciences,106,1,Male,70,3,3,Sales Executive,4,10239,18092,3,No,14,3,24,3,1,0,1,46+,High,0-1 Years
38,0,Non-Travel,573,Research & Development,6,3,Medical,107,2,Female,79,1,2,Research Scientist,4,5329,15717,7,Yes,12,3,17,3,13,11,1,36-45,Medium,8+ Years
34,0,Travel_Rarely,1153,Research & Development,1,2,Medical,110,1,Male,94,3,2,Manufacturing Director,2,4325,17736,1,No,15,3,5,3,5,2,1,26-35,Low,4-7 Years
56,0,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,112,4,Male,49,1,3,Manufacturing Director,4,7260,21698,4,No,11,3,37,2,6,4,0,46+,Medium,4-7 Years
23,0,Travel_Rarely,541,Sales,2,1,Technical Degree,113,3,Male,62,3,1,Sales Representative,1,2322,9518,3,No,13,3,3,3,0,0,0,18-25,Low,0-1 Years
51,0,Travel_Rarely,432,Research & Development,9,4,Life Sciences,116,4,Male,96,3,1,Laboratory Technician,4,2075,18725,3,No,23,4,10,3,4,2,0,46+,Low,4-7 Years
30,0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,117,3,Male,99,2,2,Healthcare Representative,4,4152,15830,1,No,19,3,11,3,11,10,10,26-35,Low,8+ Years
46,1,Travel_Rarely,669,Sales,9,2,Medical,118,3,Male,64,2,3,Sales Executive,4,9619,13596,1,No,16,3,9,3,9,8,4,46+,Medium,8+ Years
40,0,Travel_Frequently,530,Research & Development,1,4,Life Sciences,119,3,Male,78,2,4,Healthcare Representative,2,13503,14115,1,No,22,4,22,2,22,3,11,36-45,High,8+ Years
51,0,Travel_Rarely,632,Sales,21,4,Marketing,120,3,Male,71,3,2,Sales Executive,4,5441,8423,0,Yes,22,4,11,1,10,7,1,46+,Medium,8+ Years
30,0,Travel_Rarely,1334,Sales,4,2,Medical,121,3,Female,63,2,2,Sales Executive,2,5209,19760,1,Yes,12,3,11,2,11,8,2,26-35,Medium,8+ Years
46,0,Travel_Frequently,638,Research & Development,1,3,Medical,124,3,Male,40,2,3,Healthcare Representative,1,10673,3142,2,Yes,13,3,21,2,10,9,9,46+,High,8+ Years
32,0,Travel_Rarely,1093,Sales,6,4,Medical,125,2,Male,87,3,2,Sales Executive,3,5010,24301,1,No,16,3,12,3,11,8,5,26-35,Medium,8+ Years
54,0,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,126,1,Female,60,3,3,Research Director,3,13549,24001,9,No,12,3,16,1,4,3,0,46+,High,4-7 Years
24,0,Travel_Rarely,1353,Sales,3,2,Other,128,1,Female,33,3,2,Sales Executive,3,4999,17519,0,No,21,4,4,2,3,2,0,18-25,Low,0-1 Years
28,0,Non-Travel,120,Sales,4,3,Medical,129,2,Male,43,3,2,Sales Executive,3,4221,8863,1,No,15,3,5,4,5,4,0,26-35,Low,4-7 Years
58,0,Travel_Rarely,682,Sales,10,4,Medical,131,4,Male,37,3,4,Sales Executive,3,13872,24409,0,No,13,3,38,2,37,10,1,46+,High,8+ Years
44,0,Non-Travel,489,Research & Development,23,3,Medical,132,2,Male,67,3,2,Laboratory Technician,2,2042,25043,4,No,12,3,17,4,3,2,1,36-45,Low,0-1 Years
37,1,Travel_Rarely,807,Human Resources,6,4,Human Resources,133,3,Male,63,3,1,Human Resources,1,2073,23648,4,Yes,22,4,7,3,3,2,0,36-45,Low,0-1 Years
32,0,Travel_Rarely,827,Research & Development,1,1,Life Sciences,134,4,Male,71,3,1,Research Scientist,1,2956,15178,1,No,13,3,1,3,1,0,0,26-35,Low,0-1 Years
20,1,Travel_Frequently,871,Research & Development,6,3,Life Sciences,137,4,Female,66,2,1,Laboratory Technician,4,2926,19783,1,Yes,18,3,1,3,1,0,1,18-25,Low,0-1 Years
34,0,Travel_Rarely,665,Research & Development,6,4,Other,138,1,Female,41,3,2,Research Scientist,3,4809,12482,1,No,14,3,16,3,16,13,2,26-35,Low,8+ Years
37,0,Non-Travel,1040,Research & Development,2,2,Life Sciences,139,3,Male,100,2,2,Healthcare Representative,4,5163,15850,5,No,14,3,17,4,1,0,0,36-45,Medium,0-1 Years
59,0,Non-Travel,1420,Human Resources,2,4,Human Resources,140,3,Female,32,2,5,Manager,4,18844,21922,9,No,21,4,30,3,3,2,2,46+,High,0-1 Years
50,0,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,141,1,Female,73,3,5,Research Director,2,18172,9755,3,Yes,19,3,28,2,8,3,0,46+,High,8+ Years
25,1,Travel_Rarely,240,Sales,5,3,Marketing,142,3,Male,46,2,2,Sales Executive,3,5744,26959,1,Yes,11,3,6,3,6,4,0,18-25,Medium,4-7 Years
25,0,Travel_Rarely,1280,Research & Development,7,1,Medical,143,4,Male,64,2,1,Research Scientist,4,2889,26897,1,No,11,3,2,3,2,2,2,18-25,Low,0-1 Years
22,0,Travel_Rarely,534,Research & Development,15,3,Medical,144,2,Female,59,3,1,Laboratory Technician,4,2871,23785,1,No,15,3,1,3,0,0,0,18-25,Low,0-1 Years
51,0,Travel_Frequently,1456,Research & Development,1,4,Medical,145,1,Female,30,2,3,Healthcare Representative,1,7484,25796,3,No,20,4,23,2,13,12,12,46+,Medium,8+ Years
34,1,Travel_Frequently,658,Research & Development,7,3,Life Sciences,147,1,Male,66,1,2,Laboratory Technician,3,6074,22887,1,Yes,24,4,9,3,9,7,0,26-35,Medium,8+ Years
54,0,Non-Travel,142,Human Resources,26,3,Human Resources,148,4,Female,30,4,4,Manager,4,17328,13871,2,Yes,12,3,23,3,5,3,4,46+,High,4-7 Years
24,0,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,150,2,Male,52,3,1,Laboratory Technician,3,2774,13257,0,No,12,3,6,3,5,3,1,18-25,Low,4-7 Years
34,0,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,151,3,Female,45,2,2,Research Scientist,2,4505,15000,6,No,15,3,12,3,1,0,0,26-35,Low,0-1 Years
37,0,Travel_Rarely,1189,Sales,3,3,Life Sciences,152,3,Male,87,3,3,Sales Executive,4,7428,14506,2,No,12,3,12,3,5,3,1,36-45,Medium,4-7 Years
34,0,Travel_Rarely,1354,Research & Development,5,3,Medical,153,3,Female,45,2,3,Manager,1,11631,5615,2,No,12,3,14,3,11,10,5,26-35,High,8+ Years
36,0,Travel_Frequently,1467,Sales,11,2,Technical Degree,154,2,Female,92,3,3,Sales Executive,4,9738,22952,0,No,14,3,10,3,9,7,2,36-45,Medium,8+ Years
36,0,Travel_Rarely,922,Research & Development,3,2,Life Sciences,155,1,Female,39,3,1,Laboratory Technician,4,2835,2561,5,No,22,4,7,3,1,0,0,36-45,Low,0-1 Years
43,0,Travel_Frequently,394,Sales,26,2,Life Sciences,158,3,Male,92,3,4,Manager,4,16959,19494,1,Yes,12,3,25,4,25,12,4,36-45,High,8+ Years
30,0,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,159,1,Male,96,1,1,Research Scientist,3,2613,22310,1,No,25,4,10,2,10,7,0,26-35,Low,8+ Years
33,0,Non-Travel,750,Sales,22,2,Marketing,160,3,Male,95,3,2,Sales Executive,2,6146,15480,0,No,13,3,8,4,7,7,0,26-35,Medium,4-7 Years
56,1,Travel_Rarely,441,Research & Development,14,4,Life Sciences,161,2,Female,72,3,1,Research Scientist,2,4963,4510,9,Yes,18,3,7,3,5,4,4,46+,Low,4-7 Years
51,0,Travel_Rarely,684,Research & Development,6,3,Life Sciences,162,1,Male,51,3,5,Research Director,3,19537,6462,7,No,13,3,23,3,20,18,15,46+,High,8+ Years
31,1,Travel_Rarely,249,Sales,6,4,Life Sciences,163,2,Male,76,1,2,Sales Executive,3,6172,20739,4,Yes,18,3,12,2,7,7,7,26-35,Medium,4-7 Years
26,0,Travel_Rarely,841,Research & Development,6,3,Other,164,3,Female,46,2,1,Research Scientist,2,2368,23300,1,No,19,3,5,2,5,4,4,26-35,Low,4-7 Years
58,1,Travel_Rarely,147,Research & Development,23,4,Medical,165,4,Female,94,3,3,Healthcare Representative,4,10312,3465,1,No,12,3,40,2,40,10,15,46+,High,8+ Years
19,1,Travel_Rarely,528,Sales,22,1,Marketing,167,4,Male,50,3,1,Sales Representative,3,1675,26820,1,Yes,19,3,0,2,0,0,0,18-25,Low,0-1 Years
22,0,Travel_Rarely,594,Research & Development,2,1,Technical Degree,169,3,Male,100,3,1,Laboratory Technician,4,2523,19299,0,No,14,3,3,3,2,1,2,18-25,Low,0-1 Years
49,0,Travel_Rarely,470,Research & Development,20,4,Medical,170,3,Female,96,3,2,Manufacturing Director,1,6567,5549,1,No,14,3,16,2,15,11,5,46+,Medium,8+ Years
43,0,Travel_Frequently,957,Research & Development,28,3,Medical,171,2,Female,72,4,1,Research Scientist,3,4739,16090,4,No,12,3,18,3,3,2,1,36-45,Low,0-1 Years
