Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Age_gorup,Income_Band,Tenure_group
44,0,Travel_Rarely,528,Human Resources,1,3,Life Sciences,1683,3,Female,44,3,1,Human Resources,4,3195,4167,4,Yes,18,3,8,3,2,2,2,36-45,Low,0-1 Years
23,1,Travel_Rarely,1320,Research & Development,8,1,Medical,1684,4,Male,93,2,1,Laboratory Technician,3,3989,20586,1,Yes,11,3,5,3,5,4,1,18-25,Low,4-7 Years
38,0,Travel_Rarely,1495,Research & Development,4,2,Medical,1687,4,Female,87,3,1,Laboratory Technician,3,3306,26176,7,No,19,3,7,2,0,0,0,36-45,Low,0-1 Years
53,0,Travel_Rarely,1395,Research & Development,24,4,Medical,1689,2,Male,48,4,3,Healthcare Representative,4,7005,3458,3,No,15,3,11,3,4,3,1,46+,Medium,4-7 Years
48,1,Travel_Frequently,708,Sales,7,2,Medical,1691,4,Female,95,3,1,Sales Representative,3,2655,11740,2,Yes,11,3,19,3,9,7,7,46+,Low,8+ Years
32,1,Travel_Rarely,1259,Research & Development,2,4,Life Sciences,1692,4,Male,95,3,1,Laboratory Technician,2,1393,24852,1,No,12,3,1,3,1,0,0,26-35,Low,0-1 Years
26,0,Non-Travel,786,Research & Development,7,3,Medical,1693,4,Male,76,3,1,Laboratory Technician,4,2570,11925,1,No,20,4,7,3,7,7,5,26-35,Low,4-7 Years
55,0,Travel_Rarely,1441,Research & Development,22,3,Technical Degree,1694,1,Male,94,2,1,Research Scientist,2,3537,23737,5,No,12,3,8,3,4,2,1,46+,Low,4-7 Years
34,0,Travel_Rarely,1157,Research & Development,5,2,Medical,1696,2,Male,57,2,2,Laboratory Technician,4,3986,11912,1,No,14,3,15,4,15,10,4,26-35,Low,8+ Years
60,0,Travel_Rarely,370,Research & Development,1,4,Medical,1697,3,Male,92,1,3,Healthcare Representative,4,10883,20467,3,No,20,4,19,4,1,0,0,46+,High,0-1 Years
33,0,Travel_Rarely,267,Research & Development,21,3,Medical,1698,2,Male,79,4,1,Laboratory Technician,2,2028,13637,1,No,18,3,14,3,14,11,2,26-35,Low,8+ Years
37,0,Travel_Frequently,1278,Sales,1,4,Medical,1700,3,Male,31,1,2,Sales Executive,4,9525,7677,1,No,14,3,6,2,6,3,1,36-45,Medium,4-7 Years
34,0,Travel_Rarely,678,Research & Development,19,3,Life Sciences,1701,2,Female,35,2,1,Research Scientist,4,2929,20338,1,No,12,3,10,3,10,9,8,26-35,Low,8+ Years
23,1,Travel_Rarely,427,Sales,7,3,Life Sciences,1702,3,Male,99,3,1,Sales Representative,4,2275,25103,1,Yes,21,4,3,3,3,2,0,18-25,Low,0-1 Years
44,0,Travel_Rarely,921,Research & Development,2,3,Life Sciences,1703,3,Female,96,4,3,Healthcare Representative,4,7879,14810,1,Yes,19,3,9,3,8,7,6,36-45,Medium,8+ Years
35,0,Travel_Frequently,146,Research & Development,2,4,Medical,1704,1,Male,79,2,1,Research Scientist,4,4930,13970,0,Yes,14,3,6,4,5,4,1,26-35,Low,4-7 Years
43,0,Travel_Rarely,1179,Sales,2,3,Medical,1706,4,Male,73,3,2,Sales Executive,4,7847,6069,1,Yes,17,3,10,3,10,9,8,36-45,Medium,8+ Years
24,0,Travel_Rarely,581,Research & Development,9,3,Medical,1707,3,Male,62,4,1,Research Scientist,3,4401,17616,1,No,16,3,5,3,5,3,0,18-25,Low,4-7 Years
41,0,Travel_Rarely,918,Sales,6,3,Marketing,1708,4,Male,35,3,3,Sales Executive,3,9241,15869,1,No,12,3,10,3,10,8,8,36-45,Medium,8+ Years
29,0,Travel_Rarely,1082,Research & Development,9,4,Medical,1709,4,Female,43,3,1,Laboratory Technician,3,2974,25412,9,No,17,3,9,3,5,3,1,26-35,Low,4-7 Years
36,0,Travel_Rarely,530,Sales,2,4,Life Sciences,1710,3,Female,51,3,2,Sales Representative,4,4502,7439,3,No,15,3,17,2,13,7,6,36-45,Low,8+ Years
45,0,Non-Travel,1238,Research & Development,1,1,Life Sciences,1712,3,Male,74,2,3,Healthcare Representative,3,10748,3395,3,No,23,4,25,2,23,15,14,36-45,High,8+ Years
24,1,Travel_Rarely,240,Human Resources,22,1,Human Resources,1714,4,Male,58,1,1,Human Resources,3,1555,11585,1,No,11,3,1,3,1,0,0,18-25,Low,0-1 Years
47,1,Travel_Frequently,1093,Sales,9,3,Life Sciences,1716,3,Male,82,1,4,Sales Executive,3,12936,24164,7,No,11,3,25,1,23,5,14,46+,High,8+ Years
26,0,Travel_Rarely,390,Research & Development,17,4,Medical,1718,4,Male,62,1,1,Laboratory Technician,3,2305,6217,1,No,15,3,3,4,3,2,0,26-35,Low,0-1 Years
45,0,Travel_Rarely,1005,Research & Development,28,2,Technical Degree,1719,4,Female,48,2,4,Research Director,2,16704,17119,1,No,11,3,21,3,21,6,8,36-45,High,8+ Years
32,0,Travel_Frequently,585,Research & Development,10,3,Life Sciences,1720,1,Male,56,3,1,Research Scientist,3,3433,17360,6,No,13,3,10,2,5,2,1,26-35,Low,4-7 Years
31,0,Travel_Rarely,741,Research & Development,2,4,Life Sciences,1721,2,Male,69,3,1,Laboratory Technician,3,3477,18103,1,No,14,3,6,4,5,2,0,26-35,Low,4-7 Years
41,0,Non-Travel,552,Human Resources,4,3,Human Resources,1722,3,Male,60,1,2,Human Resources,2,6430,20794,6,No,19,3,10,3,3,2,1,36-45,Medium,0-1 Years
40,0,Travel_Rarely,369,Research & Development,8,2,Life Sciences,1724,2,Female,92,3,2,Manufacturing Director,1,6516,5041,2,Yes,16,3,18,3,1,0,0,36-45,Medium,0-1 Years
24,0,Travel_Rarely,506,Research & Development,29,1,Medical,1725,2,Male,91,3,1,Laboratory Technician,1,3907,3622,1,No,13,3,6,4,6,2,1,18-25,Low,4-7 Years
46,0,Travel_Rarely,717,Research & Development,13,4,Life Sciences,1727,3,Male,34,3,2,Healthcare Representative,2,5562,9697,6,No,14,3,19,3,10,7,0,46+,Medium,8+ Years
35,0,Travel_Rarely,1370,Research & Development,27,4,Life Sciences,1728,4,Male,49,3,2,Manufacturing Director,3,6883,5151,2,No,16,3,17,3,7,7,0,26-35,Medium,4-7 Years
30,0,Travel_Rarely,793,Research & Development,16,1,Life Sciences,1729,2,Male,33,3,1,Research Scientist,4,2862,3811,1,No,12,3,10,2,10,0,0,26-35,Low,8+ Years
47,0,Non-Travel,543,Sales,2,4,Marketing,1731,3,Male,87,3,2,Sales Executive,2,4978,3536,7,No,11,3,4,1,1,0,0,46+,Low,0-1 Years
46,0,Travel_Rarely,1277,Sales,2,3,Life Sciences,1732,3,Male,74,3,3,Sales Executive,4,10368,5596,4,Yes,12,3,13,2,10,6,0,46+,High,8+ Years
36,1,Travel_Rarely,1456,Sales,13,5,Marketing,1733,2,Male,96,2,2,Sales Executive,1,6134,8658,5,Yes,13,3,16,3,2,2,2,36-45,Medium,0-1 Years
32,1,Travel_Rarely,964,Sales,1,2,Life Sciences,1734,1,Male,34,1,2,Sales Executive,2,6735,12147,6,No,15,3,10,3,0,0,0,26-35,Medium,0-1 Years
23,0,Travel_Rarely,160,Research & Development,4,1,Medical,1735,3,Female,51,3,1,Laboratory Technician,2,3295,12862,1,No,13,3,3,1,3,2,1,18-25,Low,0-1 Years
31,0,Travel_Frequently,163,Research & Development,24,1,Technical Degree,1736,4,Female,30,3,2,Manufacturing Director,4,5238,6670,2,No,20,4,9,2,5,4,1,26-35,Medium,4-7 Years
39,0,Non-Travel,792,Research & Development,1,3,Life Sciences,1737,4,Male,77,3,2,Laboratory Technician,4,6472,8989,1,Yes,15,3,9,3,9,8,5,36-45,Medium,8+ Years
32,0,Travel_Rarely,371,Sales,19,3,Life Sciences,1739,4,Male,80,1,3,Sales Executive,3,9610,3840,3,No,13,3,10,1,4,3,0,26-35,Medium,4-7 Years
40,0,Travel_Rarely,611,Sales,7,4,Medical,1740,2,Male,88,3,5,Manager,2,19833,4349,1,No,14,3,21,2,21,8,12,36-45,High,8+ Years
45,0,Travel_Rarely,176,Human Resources,4,3,Life Sciences,1744,3,Female,56,1,3,Human Resources,3,9756,6595,4,No,21,4,9,4,5,0,0,36-45,Medium,4-7 Years
30,0,Travel_Frequently,1312,Research & Development,2,4,Technical Degree,1745,4,Female,78,2,1,Research Scientist,1,4968,26427,0,No,16,3,10,3,9,7,0,26-35,Low,8+ Years
24,0,Travel_Frequently,897,Human Resources,10,3,Medical,1746,1,Male,59,3,1,Human Resources,4,2145,2097,0,No,14,3,3,3,2,2,2,18-25,Low,0-1 Years
30,1,Travel_Frequently,600,Human Resources,8,3,Human Resources,1747,3,Female,66,2,1,Human Resources,4,2180,9732,6,No,11,3,6,2,4,2,1,26-35,Low,4-7 Years
31,0,Travel_Rarely,1003,Sales,5,3,Technical Degree,1749,1,Male,51,3,2,Sales Executive,3,8346,20943,1,No,19,3,6,3,5,2,0,26-35,Medium,4-7 Years
27,0,Travel_Rarely,1054,Research & Development,8,3,Medical,1751,3,Female,67,3,1,Research Scientist,4,3445,6152,1,No,11,3,6,2,6,2,1,26-35,Low,4-7 Years
29,1,Travel_Rarely,428,Sales,9,3,Marketing,1752,2,Female,52,1,1,Sales Representative,2,2760,14630,1,No,13,3,2,3,2,2,2,26-35,Low,0-1 Years
29,0,Travel_Frequently,461,Research & Development,1,3,Life Sciences,1753,4,Male,70,4,2,Healthcare Representative,3,6294,23060,8,Yes,12,3,10,4,3,2,0,26-35,Medium,0-1 Years
30,0,Travel_Rarely,979,Sales,15,2,Marketing,1754,3,Male,94,2,3,Sales Executive,1,7140,3088,2,No,11,3,12,3,7,7,1,26-35,Medium,4-7 Years
34,0,Travel_Rarely,181,Research & Development,2,4,Medical,1755,4,Male,97,4,1,Research Scientist,4,2932,5586,0,Yes,14,3,6,3,5,0,1,26-35,Low,4-7 Years
33,0,Non-Travel,1283,Sales,2,3,Marketing,1756,4,Female,62,3,2,Sales Executive,2,5147,10697,8,No,15,3,13,2,11,7,1,26-35,Medium,8+ Years
49,0,Travel_Rarely,1313,Sales,11,4,Marketing,1757,4,Female,80,3,2,Sales Executive,4,4507,8191,3,No,12,3,8,4,5,1,0,46+,Low,4-7 Years
33,1,Travel_Rarely,211,Sales,16,3,Life Sciences,1758,1,Female,74,3,3,Sales Executive,1,8564,10092,2,Yes,20,4,11,2,0,0,0,26-35,Medium,0-1 Years
38,0,Travel_Frequently,594,Research & Development,2,2,Medical,1760,3,Female,75,2,1,Laboratory Technician,2,2468,15963,4,No,14,3,9,2,6,1,0,36-45,Low,4-7 Years
31,1,Travel_Rarely,1079,Sales,16,4,Marketing,1761,1,Male,70,3,3,Sales Executive,3,8161,19002,2,No,13,3,10,3,1,0,0,26-35,Medium,0-1 Years
29,0,Travel_Rarely,590,Research & Development,4,3,Technical Degree,1762,4,Female,91,2,1,Research Scientist,1,2109,10007,1,No,13,3,1,3,1,0,0,26-35,Low,0-1 Years
30,0,Travel_Rarely,305,Research & Development,16,3,Life Sciences,1763,3,Male,58,4,2,Healthcare Representative,3,5294,9128,3,No,16,3,10,3,7,0,1,26-35,Medium,4-7 Years
32,0,Non-Travel,953,Research & Development,5,4,Technical Degree,1764,2,Male,65,3,1,Research Scientist,2,2718,17674,2,No,14,3,12,3,7,7,0,26-35,Low,4-7 Years
38,0,Travel_Rarely,833,Research & Development,18,3,Medical,1766,2,Male,60,1,2,Healthcare Representative,4,5811,24539,3,Yes,16,3,15,3,1,0,1,36-45,Medium,0-1 Years
43,1,Travel_Frequently,807,Research & Development,17,3,Technical Degree,1767,3,Male,38,2,1,Research Scientist,3,2437,15587,9,Yes,16,3,6,3,1,0,0,36-45,Low,0-1 Years
42,0,Travel_Rarely,855,Research & Development,12,3,Medical,1768,2,Male,57,3,1,Laboratory Technician,2,2766,8952,8,No,22,4,7,2,5,3,0,36-45,Low,4-7 Years
55,0,Travel_Rarely,478,Research & Development,2,3,Medical,1770,3,Male,60,2,5,Research Director,1,19038,19805,8,No,12,3,34,3,1,0,0,46+,High,0-1 Years
33,0,Non-Travel,775,Research & Development,4,3,Technical Degree,1771,4,Male,90,3,2,Research Scientist,2,3055,6194,5,No,15,3,11,2,9,8,1,26-35,Low,8+ Years
41,0,Travel_Rarely,548,Research & Development,9,4,Life Sciences,1772,3,Male,94,3,1,Laboratory Technician,1,2289,20520,1,No,20,4,5,3,5,3,0,36-45,Low,4-7 Years
34,0,Non-Travel,1375,Sales,10,3,Life Sciences,1774,4,Male,87,3,2,Sales Executive,3,4001,12313,1,Yes,14,3,15,3,15,14,0,26-35,Low,8+ Years
53,0,Non-Travel,661,Research & Development,1,4,Medical,1775,1,Female,60,2,4,Manufacturing Director,3,12965,22308,4,Yes,20,4,27,2,3,2,0,46+,High,0-1 Years
43,0,Travel_Rarely,244,Human Resources,2,3,Life Sciences,1778,2,Male,97,3,1,Human Resources,4,3539,5033,0,No,13,3,10,3,9,7,1,36-45,Low,8+ Years
34,0,Travel_Rarely,511,Sales,3,2,Life Sciences,1779,4,Female,32,1,2,Sales Executive,4,6029,25353,5,No,12,3,6,3,2,2,2,26-35,Medium,0-1 Years
21,1,Travel_Rarely,337,Sales,7,1,Marketing,1780,2,Male,31,3,1,Sales Representative,2,2679,4567,1,No,13,3,1,3,1,0,1,18-25,Low,0-1 Years
38,0,Travel_Rarely,1153,Research & Development,6,2,Other,1782,4,Female,40,2,1,Laboratory Technician,3,3702,16376,1,No,11,3,5,3,5,4,0,36-45,Low,4-7 Years
22,1,Travel_Rarely,1294,Research & Development,8,1,Medical,1783,3,Female,79,3,1,Laboratory Technician,1,2398,15999,1,Yes,17,3,1,3,1,0,0,18-25,Low,0-1 Years
31,0,Travel_Rarely,196,Sales,29,4,Marketing,1784,1,Female,91,2,2,Sales Executive,4,5468,13402,1,No,14,3,13,3,12,7,5,26-35,Medium,8+ Years
51,0,Travel_Rarely,942,Research & Development,3,3,Technical Degree,1786,1,Female,53,3,3,Manager,3,13116,22984,2,No,11,3,15,3,2,2,2,46+,High,0-1 Years
37,0,Travel_Rarely,589,Sales,9,2,Marketing,1787,2,Male,46,2,2,Sales Executive,2,4189,8800,1,No,14,3,5,3,5,2,0,36-45,Low,4-7 Years
46,0,Travel_Rarely,734,Research & Development,2,4,Medical,1789,3,Male,46,3,5,Research Director,4,19328,14218,7,Yes,17,3,24,3,2,1,2,46+,High,0-1 Years
36,0,Travel_Rarely,1383,Research & Development,10,3,Life Sciences,1790,4,Male,90,3,3,Healthcare Representative,1,8321,25949,7,Yes,13,3,15,3,12,8,5,36-45,Medium,8+ Years
44,1,Travel_Frequently,429,Research & Development,1,2,Medical,1792,3,Male,99,3,1,Research Scientist,2,2342,11092,1,Yes,12,3,6,2,5,3,2,36-45,Low,4-7 Years
37,0,Travel_Rarely,1239,Human Resources,8,2,Other,1794,3,Male,89,3,2,Human Resources,2,4071,12832,2,No,13,3,19,2,10,0,4,36-45,Low,8+ Years
35,1,Travel_Rarely,303,Sales,27,3,Life Sciences,1797,3,Male,84,3,2,Sales Executive,4,5813,13492,1,Yes,18,3,10,3,10,7,7,26-35,Medium,8+ Years
33,0,Travel_Rarely,867,Research & Development,8,4,Life Sciences,1798,4,Male,90,4,1,Research Scientist,1,3143,6076,6,No,19,3,14,3,10,8,7,26-35,Low,8+ Years
28,0,Travel_Rarely,1181,Research & Development,1,3,Life Sciences,1799,3,Male,82,3,1,Research Scientist,4,2044,5531,1,No,11,3,5,4,5,3,0,26-35,Low,4-7 Years
39,0,Travel_Rarely,1253,Research & Development,10,1,Medical,1800,3,Male,65,3,3,Research Director,3,13464,7914,7,No,21,4,9,3,4,3,2,36-45,High,4-7 Years
46,0,Non-Travel,849,Sales,26,2,Life Sciences,1801,2,Male,98,2,2,Sales Executive,2,7991,25166,8,No,15,3,6,3,2,2,2,46+,Medium,0-1 Years
40,0,Travel_Rarely,616,Research & Development,2,2,Life Sciences,1802,3,Female,99,3,1,Laboratory Technician,1,3377,25605,4,No,17,3,7,2,4,3,0,36-45,Low,4-7 Years
42,0,Travel_Rarely,1128,Research & Development,13,3,Medical,1803,2,Male,95,4,2,Healthcare Representative,1,5538,5696,5,No,18,3,10,2,0,0,0,36-45,Medium,0-1 Years
35,0,Non-Travel,1180,Research & Development,2,2,Medical,1804,2,Male,90,3,2,Manufacturing Director,4,5762,24442,2,No,14,3,15,3,7,7,1,26-35,Medium,4-7 Years
38,0,Non-Travel,1336,Human Resources,2,3,Human Resources,1805,1,Male,100,3,1,Human Resources,2,2592,7129,5,No,13,3,13,3,11,10,3,36-45,Low,8+ Years
34,1,Travel_Frequently,234,Research & Development,9,4,Life Sciences,1807,4,Male,93,3,2,Laboratory Technician,1,5346,6208,4,No,17,3,11,2,7,1,0,26-35,Medium,4-7 Years
37,1,Travel_Rarely,370,Research & Development,10,4,Medical,1809,4,Male,58,3,2,Manufacturing Director,1,4213,4992,1,No,15,3,10,1,10,3,0,36-45,Low,8+ Years
39,0,Travel_Frequently,766,Sales,20,3,Life Sciences,1812,3,Male,83,3,2,Sales Executive,4,4127,19188,2,No,18,3,7,3,2,1,2,36-45,Low,0-1 Years
43,0,Non-Travel,343,Research & Development,9,3,Life Sciences,1813,1,Male,52,3,1,Research Scientist,3,2438,24978,4,No,13,3,7,2,3,2,1,36-45,Low,0-1 Years
41,0,Travel_Rarely,447,Research & Development,5,3,Life Sciences,1814,2,Male,85,4,2,Healthcare Representative,2,6870,15530,3,No,12,3,11,1,3,2,1,36-45,Medium,0-1 Years
41,0,Travel_Rarely,796,Sales,4,1,Marketing,1815,3,Female,81,3,3,Sales Executive,3,10447,26458,0,Yes,13,3,23,4,22,14,13,36-45,High,8+ Years
30,0,Travel_Rarely,1092,Research & Development,10,3,Medical,1816,1,Female,64,3,3,Manufacturing Director,3,9667,2739,9,No,14,3,9,3,7,7,0,26-35,Medium,4-7 Years
26,1,Travel_Rarely,920,Human Resources,20,2,Medical,1818,4,Female,69,3,1,Human Resources,2,2148,6889,0,Yes,11,3,6,3,5,1,1,26-35,Low,4-7 Years
46,1,Travel_Rarely,261,Research & Development,21,2,Medical,1821,4,Female,66,3,2,Healthcare Representative,2,8926,10842,4,No,22,4,13,4,9,7,3,46+,Medium,8+ Years
40,0,Travel_Rarely,1194,Research & Development,1,3,Life Sciences,1822,3,Female,52,3,2,Healthcare Representative,4,6513,9060,4,No,17,3,12,3,5,3,0,36-45,Medium,4-7 Years
34,0,Travel_Rarely,810,Sales,8,2,Technical Degree,1823,2,Male,92,4,2,Sales Executive,3,6799,22128,1,No,21,4,10,3,10,8,4,26-35,Medium,8+ Years
58,0,Non-Travel,350,Sales,2,3,Medical,1824,2,Male,52,3,4,Manager,2,16291,22577,4,No,22,4,37,2,16,9,14,46+,High,8+ Years
35,0,Travel_Rarely,185,Research & Development,23,4,Medical,1826,2,Male,91,1,1,Laboratory Technician,3,2705,9696,0,No,16,3,6,4,5,4,0,26-35,Low,4-7 Years
47,0,Travel_Rarely,1001,Research & Development,4,3,Life Sciences,1827,3,Female,92,2,3,Manufacturing Director,2,10333,19271,8,Yes,12,3,28,3,22,11,14,46+,High,8+ Years
40,0,Travel_Rarely,750,Research & Development,12,3,Life Sciences,1829,2,Female,47,3,2,Healthcare Representative,1,4448,10748,2,No,12,3,15,3,7,4,7,36-45,Low,4-7 Years
54,0,Travel_Rarely,431,Research & Development,7,4,Medical,1830,4,Female,68,3,2,Research Scientist,4,6854,15696,4,No,15,3,14,2,7,1,1,46+,Medium,4-7 Years
31,0,Travel_Frequently,1125,Sales,7,4,Marketing,1833,1,Female,68,3,3,Sales Executive,1,9637,8277,2,No,14,3,9,3,3,2,2,26-35,Medium,0-1 Years
28,0,Travel_Rarely,1217,Research & Development,1,3,Medical,1834,3,Female,67,3,1,Research Scientist,1,3591,12719,1,No,25,4,3,3,3,2,1,26-35,Low,0-1 Years
38,0,Travel_Rarely,723,Sales,2,4,Marketing,1835,2,Female,77,1,2,Sales Representative,4,5405,4244,2,Yes,20,4,20,2,4,2,0,36-45,Medium,4-7 Years
26,0,Travel_Rarely,572,Sales,10,3,Medical,1836,3,Male,46,3,2,Sales Executive,4,4684,9125,1,No,13,3,5,3,5,3,1,26-35,Low,4-7 Years
58,0,Travel_Frequently,1216,Research & Development,15,4,Life Sciences,1837,1,Male,87,3,4,Research Director,3,15787,21624,2,Yes,14,3,23,3,2,2,2,46+,High,0-1 Years
18,0,Non-Travel,1431,Research & Development,14,3,Medical,1839,2,Female,33,3,1,Research Scientist,3,1514,8018,1,No,16,3,0,1,0,0,0,18-25,Low,0-1 Years
31,1,Travel_Rarely,359,Human Resources,18,5,Human Resources,1842,4,Male,89,4,1,Human Resources,1,2956,21495,0,No,17,3,2,3,1,0,0,26-35,Low,0-1 Years
29,1,Travel_Rarely,350,Human Resources,13,3,Human Resources,1844,1,Male,56,2,1,Human Resources,1,2335,3157,4,Yes,15,3,4,3,2,2,2,26-35,Low,0-1 Years
45,0,Non-Travel,589,Sales,2,4,Life Sciences,1845,3,Female,67,3,2,Sales Executive,3,5154,19665,4,No,22,4,10,4,8,7,5,36-45,Medium,8+ Years
36,0,Travel_Rarely,430,Research & Development,2,4,Other,1847,4,Female,73,3,2,Research Scientist,2,6962,19573,4,Yes,22,4,15,3,1,0,0,36-45,Medium,0-1 Years
43,0,Travel_Frequently,1422,Sales,2,4,Life Sciences,1849,1,Male,92,3,2,Sales Executive,4,5675,19246,1,No,20,4,7,3,7,7,7,36-45,Medium,4-7 Years
27,0,Travel_Frequently,1297,Research & Development,5,2,Life Sciences,1850,4,Female,53,3,1,Laboratory Technician,4,2379,19826,0,Yes,14,3,6,2,5,4,0,26-35,Low,4-7 Years
29,0,Travel_Frequently,574,Research & Development,20,1,Medical,1852,4,Male,40,3,1,Laboratory Technician,4,3812,7003,1,No,13,3,11,4,11,8,3,26-35,Low,8+ Years
32,0,Travel_Frequently,1318,Sales,10,4,Marketing,1853,4,Male,79,3,2,Sales Executive,4,4648,26075,8,No,13,3,4,4,0,0,0,26-35,Low,0-1 Years
42,0,Non-Travel,355,Research & Development,10,4,Technical Degree,1854,3,Male,38,3,1,Research Scientist,3,2936,6161,3,No,22,4,10,2,6,3,3,36-45,Low,4-7 Years
47,0,Travel_Rarely,207,Research & Development,9,4,Life Sciences,1856,2,Female,64,3,1,Laboratory Technician,3,2105,5411,4,No,12,3,7,3,2,2,2,46+,Low,0-1 Years
46,0,Travel_Rarely,706,Research & Development,2,2,Life Sciences,1857,4,Male,82,3,3,Manufacturing Director,4,8578,19989,3,No,14,3,12,2,9,8,4,46+,Medium,8+ Years
28,0,Non-Travel,280,Human Resources,1,2,Life Sciences,1858,3,Male,43,3,1,Human Resources,4,2706,10494,1,No,15,3,3,3,3,2,2,26-35,Low,0-1 Years
29,0,Travel_Rarely,726,Research & Development,29,1,Life Sciences,1859,4,Male,93,1,2,Healthcare Representative,3,6384,21143,8,No,17,3,11,3,7,0,1,26-35,Medium,4-7 Years
42,0,Travel_Rarely,1142,Research & Development,8,3,Life Sciences,1860,4,Male,81,3,1,Laboratory Technician,3,3968,13624,4,No,13,3,8,3,0,0,0,36-45,Low,0-1 Years
32,1,Travel_Rarely,414,Sales,2,4,Marketing,1862,3,Male,82,2,2,Sales Executive,2,9907,26186,7,Yes,12,3,7,2,2,2,2,26-35,Medium,0-1 Years
46,0,Travel_Rarely,1319,Sales,3,3,Technical Degree,1863,1,Female,45,4,4,Sales Executive,1,13225,7739,2,No,12,3,25,3,19,17,2,46+,High,8+ Years
27,0,Travel_Rarely,728,Sales,23,1,Medical,1864,2,Female,36,2,2,Sales Representative,3,3540,7018,1,No,21,4,9,3,9,8,5,26-35,Low,8+ Years
29,0,Travel_Rarely,352,Human Resources,6,1,Medical,1865,4,Male,87,2,1,Human Resources,2,2804,15434,1,No,11,3,1,3,1,0,0,26-35,Low,0-1 Years
43,0,Travel_Rarely,823,Research & Development,6,3,Medical,1866,1,Female,81,2,5,Manager,3,19392,22539,7,No,13,3,21,3,16,12,6,36-45,High,8+ Years
48,0,Travel_Rarely,1224,Research & Development,10,3,Life Sciences,1867,4,Male,91,2,5,Research Director,2,19665,13583,4,No,12,3,29,3,22,10,12,46+,High,8+ Years
29,1,Travel_Frequently,459,Research & Development,24,2,Life Sciences,1868,4,Male,73,2,1,Research Scientist,4,2439,14753,1,Yes,24,4,1,2,1,0,1,26-35,Low,0-1 Years
46,1,Travel_Rarely,1254,Sales,10,3,Life Sciences,1869,3,Female,64,3,3,Sales Executive,2,7314,14011,5,No,21,4,14,3,8,7,0,46+,Medium,8+ Years
